Org Name,Contact Address w/o Unit,Latitude,Longitude
"Academy of Medical & Public Health Services, Inc.",5306 Third Ave Brooklyn 11220,40.646042,-74.016928
Adhikaar for Human Rights and Social Justice,71-07 Woodside Ave Queens 11377,40.742875,-73.89347
African Communities Together,127 W 127th St Manhattan 10027,40.809939,-73.946077
Agudath Israel of America Community Services Inc.,42 Broadway Manhattan 10004,40.705985,-74.012601
Alianza Ecuatorina Internacional,100-05 Roosevelt Ave Queens 11368,40.749836,-73.865285
Allen A.M.E. Neighborhood Preservation and Development Corp.,110-42 Merrick Blvd Queens 11433,40.694778,-73.78207
American Indian Community House,39 Eldridge St Manhattan 10002,40.715714,-73.993496
Apicha Community Health Center,400 Broadway Manhattan 10013,40.71859,-74.002176
"Apna Brooklyn Community Center, Inc.",236 Neptune Ave Brooklyn 11235,40.581307,-73.96202
Arab American Association of New York,7111 5th Ave Brooklyn 11209,40.632164,-74.021263
Arab-American Family Support Center,150 Court St Brooklyn 11201,40.6889,-73.992998
"Ariva, Inc.",69 E 167th St Bronx 10452,40.835732,-73.920475
Asian American Federation,120 Wall St Manhattan 10005,40.704765,-74.005942
"Banana Kelly Community Improvement Association, Inc.",863 Prospect Ave Bronx 10459,40.820422,-73.901672
Bangladeshi American Community Development & Youth Services Corp.,1216 Liberty Ave Brooklyn 11208,40.678794,-73.864309
Bedford Stuyvesant Restoration Corporation,1368 Fulton St Brooklyn 11216,40.679918,-73.945614
"Beyond Our Status Congolese Alliance, Inc.",365 W 125th St Manhattan 10027,40.811462,-73.953116
Black Alliance for Just Immigration,1360 Fulton St Brooklyn 11216,40.67981,-73.94633
"Boro Park Jewish Community Council, Inc.",1310 46th St Brooklyn 11219,40.636321,-73.990188
Boys & Girls Club of Metro Queens,110-04 Atlantic Ave Queens 11419,40.691679,-73.835289
"BRIC Arts | Media | Bklyn, Inc.",647 Fulton St Brooklyn 11217,40.688658,-73.979087
"Bronxworks, Inc.",60 E Tremont Ave Bronx 10453,40.850893,-73.908124
Brooklyn Chinese-American Association,5000 8th Ave Brooklyn 11220,40.641151,-74.004039
Camba Inc.,1720 Church Ave Brooklyn 11226,40.649039,-73.96343
Carroll Gardens Association,201 Columbia St Brooklyn 11231,40.685185,-74.002315
"Casita Maria, Inc.",928 Simpson St Bronx 10459,40.82039,-73.892961
"Catholic Charities Community Services, Archdiocese of New York",1011 First Ave Manhattan 10022,40.75745,-73.964011
Catholic Charities of Brooklyn and Queens,191 Joralemon St Brooklyn 11201,40.692816,-73.991762
"Center for Independence of the Disabled, New York",841 Broadway Manhattan 10003,40.73431,-73.99123
Center for Popular Democracy,449 Troutman St Brooklyn 11237,40.708211,-73.921494
"Center for the Integration and Advancement of New Americans, Inc.",31-09 Newtown Ave Queens 11102,40.767476,-73.920379
Chhaya CDC,37-43 77th St Queens 11372,40.747968,-73.888583
"Children of Promise, NYC",54 Macdonough St Brooklyn 11216,40.680727,-73.943691
Chinese-American Planning Council,150 Elizabeth St Manhattan 10012,40.720254,-73.994799
"Churches United for Fair Housing, Inc.",7 Marcus Garvey Blvd Brooklyn 11206,40.699884,-73.941021
Committee for Hispanic Children & Families,75 Broad St Manhattan 10004,40.704701,-74.011194
Community Voices Heard,115 E 106th St Manhattan 10029,40.792765,-73.946871
"Consortium for Worker Education, Inc.",275 Seventh Ave Manhattan 10001,40.74555,-73.994151
Cooper Square Community Development Committee,61 E 4th St Manhattan 10003,40.726975,-73.990814
"Council of Jewish Organizations of Flatbush, Inc.",1523 Ave M Brooklyn 11230,40.625505,-73.960685
"Crown Heights Jewish Community Council, Inc.",392 Kingston Ave Brooklyn 11225,40.665258,-73.942822
Darchei Torah,257 Beach 17th St Queens 11691,40.596576,-73.75153
"Day Care Council of New York, Inc.",2082 Lexington Ave Manhattan 10035,40.804981,-73.93735
"Delta Sigma Theta Sorority, Inc., East Kings County Alumnae Chapter",615 Willoughby Ave Brooklyn 11206,40.694545,-73.944795
Diaspora Community Services,921B E New York Ave Brooklyn 11203,#ERROR!,#ERROR!
"Digital Girl, Inc.",1958 Fulton St Brooklyn 11233,40.678413,-73.920209
Dominican Women's Development Center,519 W 189th St Manhattan 10040,40.853746,-73.928397
"Drum - Desis Rising Up & Moving, Inc.",72-18 Roosevelt Ave Jackson Heights 11372,40.74648,-73.892842
"East Flatbush Village, Inc.",4106 Farragut Rd Brooklyn 11210,40.636638,-73.937186
"East Side House, Inc.",337 Alexander Ave Bronx 10454,40.812345,-73.923844
El Museo Del Barrio,1230 Fifth Ave Manhattan 10029,40.793106,-73.951395
Emerald Isle Immigration Center,59-26 Woodside Ave Queens 11377,40.744944,-73.904716
Endangered Language Alliance,3 W 18th St Manhattan 10011,40.738952,-73.992337
FIERCE,2427 Morris Ave Bronx 10468,40.861321,-73.900363
"Fifth Avenue Committee, Inc.",621 DeGraw St Brooklyn 11217,40.6791,-73.982736
Flatbush Development Corp,1616 Newkirk Ave Brooklyn 11226,40.635966,-73.961976
Foundation for the Advancement and Rehabilitation of the Marginal,1546 St Johns Pl Brooklyn 11213,40.670078,-73.927198
Garifuna Community Services Inc.,818 Home St Bronx 10459,40.827408,-73.899411
"Gay Men's Health Crisis, Inc.",307 W 38th St Manhattan 10018-9502,40.755252,-73.992213
Global Kids,137 E 25th St Manhattan 10010,40.740849,-73.983145
"Good Old Lower East Side, Inc.",169 Ave B Manhattan 10009,40.727149,-73.979412
Good Shepherd Services,305 7th Ave Manhattan 10001,40.746648,-73.993362
"Grand Street Settlement, Inc.",80 Pitt St Manhattan 10002,40.718296,-73.98173
Green City Force,630 Flushing Ave Brooklyn 11206,40.699762,-73.948172
"Haitian Americans United for Progress, Inc.",197-17 Hillside Ave Hollis 11423,40.71886,-73.765068
Hamilton-Madison House,253 South St Manhattan 10002,40.710285,-73.990447
"HANAC, Inc.",27-40 Hoyt Ave South Queens 11102,40.771094,-73.919166
Hebrew Educational Society of Brooklyn,9502 Seaview Ave Brooklyn 11236,40.632584,-73.890725
Hester Street Collaborative,113 Hester St Manhattan 10002,40.716741,-73.993085
Hispanic Federation,55 Exchange Pl Manhattan 10005,40.706515,-74.01056
Holy Apostles Soup Kitchen,296 Ninth Ave Manhattan 10001,40.749203,-73.998787
Hunger Free America,50 Broad St Manhattan 10004,40.705751,-74.011747
"Ifetayo Cultural Arts Academy, Inc.",495 Flatbush Ave Brooklyn 11225,40.662455,-73.961419
India Home,178-36 Wexford Terrace Queens 11432,40.713302,-73.784287
Jacob A. Riis Neighborhood Settlement,10-25 41st Ave Queens 11101,40.755604,-73.944514
Jewish Association Serving the Aging,247 W 37th St Manhattan 10018,40.753985,-73.991229
Jewish Community Council of Greater Coney Island Inc.,3001 W 37th St Brooklyn 11224,40.572736,-74.002162
Juan Pablo Duarte Foundation,4211 Broadway Manhattan 10033,40.848865,-73.938417
"Kings Bay YM-YWHA, Inc.",3495 Nostrand Ave Brooklyn 11229,40.598856,-73.941226
Korean American Civic Empowerment,163-10 Northern Blvd Flushing 11358,40.760782,-73.802727
"Korean Community Services of Metropolitan New York, Inc.",203-05 32nd Ave Queens 11361,40.771014,-73.786449
La Colmena,774 Port Richmond Ave Staten Island 10302,40.625361,-74.144561
"Life Camp, Inc.",111-12 Sutphin Blvd Queens 11435,40.688137,-73.795561
Life of Hope,710 E 37th St Brooklyn 11203,40.639568,-73.941961
Loisaida Inc.,710 E 9th St Manhattan 10009,40.724876,-73.977562
"Lsa Family Health Service, Inc.",333 E 115th St Manhattan 10029,40.795879,-73.936638
Make The Road New York,301 Grove St Brooklyn 11237,40.698462,-73.915886
"Merchant Association of Rosedale, Laurelton and Springfield Gardens",144-14 243rd St Rosedale 11422,40.660086,-73.73983
"Masa-MexEd, Inc.",2770 Third Ave Bronx 10455,40.814602,-73.919847
"Mekong, Inc.",2471 University Ave Bronx 10468,40.864816,-73.904017
Metropolitan New York Coordinating Council On Jewish Poverty,77 Water St Manhattan 10005,40.7042,-74.008238
MinKwon Center for Community Action,163-19 41st Ave Queens 11355,#ERROR!,#ERROR!
"Mixteca Organization, Inc.",245 23rd St Brooklyn 11215,40.660165,-73.994167
"Mosholu-Montefiore Community Center, Inc.",3450 Dekalb Ave Bronx 10467,40.88151,-73.880729
