Org Name,Contact Address w/o Unit,Latitude,Longitude,color
"NYC Elected Officials",NYC,0,0,5B8AAE
"NYC Census 2020 Field Team",NYC,0,0,41674F
"Academy of Medical & Public Health Services, Inc.",5306 Third Ave Brooklyn 11220,40.646042,-74.01692800000001,B86328
Adhikaar for Human Rights and Social Justice,71-07 Woodside Ave Queens 11377,40.742875,-73.89347,5F3092
African Communities Together,127 W 127th St Manhattan 10027,40.809939,-73.946077,FBA919
African Services Committee,429 West 127th Street Manhattan 10027,40.813379,-73.954488,FCC28E
Agudath Israel of America Community Services Inc.,42 Broadway Manhattan 10004,40.705985,-74.012601,41674F
Alianza Ecuatorina Internacional,100-05 Roosevelt Ave Queens 11368,40.749836,-73.865285,76C04B
Allen A.M.E. Neighborhood Preservation and Development Corp.,110-42 Merrick Blvd Queens 11433,40.694778,-73.78206999999999,A44098
American Indian Community House,39 Eldridge St Manhattan 10002,40.715714,-73.993496,E2E419
AMPHS,"5306 Third Avenue, 2nd Floor Brooklyn 11220",40.645967,-74.016797,A44098
Apicha Community Health Center,400 Broadway Manhattan 10013,40.71859,-74.002176,FCC28E
"Apna Brooklyn Community Center, Inc.",236 Neptune Ave Brooklyn 11235,40.581307,-73.96202,34499E
Arab American Association of New York,7111 5th Ave Brooklyn 11209,40.632164,-74.021263,9D9A51
Arab-American Family Support Center,150 Court St Brooklyn 11201,40.6889,-73.992998,767FBE
"Ariva, Inc.",69 E 167th St Bronx 10452,40.835732,-73.920475,DD4297
Asian American Federation,120 Wall St Manhattan 10005,40.704765,-74.005942,767FBE
Asian Americans for Equality,35-34 Union Street Flushing 11354,40.764519,-73.828175,FBA919
Association to Benefit Children,419 East 86th Street Manhattan 10028,40.776677,-73.948483,B86328
"Banana Kelly Community Improvement Association, Inc.",863 Prospect Ave Bronx 10459,40.820422,-73.90167199999999,865F94
Bangladeshi American Community Development & Youth Services Corp.,1216 Liberty Ave Brooklyn 11208,40.678794,-73.86430899999999,FCC28E
Bedford Stuyvesant Restoration Corporation,1368 Fulton St Brooklyn 11216,40.679918,-73.945614,5B8AAE
"Beyond Our Status Congolese Alliance, Inc.",365 W 125th St Manhattan 10027,40.811462,-73.95311600000001,9D9A51
Black Alliance for Just Immigration,1360 Fulton St Brooklyn 11216,40.679809999999996,-73.94633,484949
"Boro Park Jewish Community Council, Inc.",1310 46th St Brooklyn 11219,40.636321,-73.990188,76C04B
Boys & Girls Club of Metro Queens,110-04 Atlantic Ave Queens 11419,40.691679,-73.835289,A44098
"BRIC Arts | Media | Bklyn, Inc.",647 Fulton St Brooklyn 11217,40.688658000000004,-73.97908699999999,34499E
BronxWorks,60 East Tremont Avenue Bronx 10453,40.850955,-73.908068,5B8AAE
"Bronxworks, Inc.",60 E Tremont Ave Bronx 10453,40.850893,-73.908124,5B8AAE
Brooklyn Chinese-American Association,5000 8th Ave Brooklyn 11220,40.641151,-74.004039,5B8AAE
Camba Inc.,1720 Church Ave Brooklyn 11226,40.649039,-73.96343,B86328
Carroll Gardens Association,201 Columbia St Brooklyn 11231,40.685185,-74.002315,41674F
"Casita Maria, Inc.",928 Simpson St Bronx 10459,40.82039,-73.892961,5B8AAE
"Catholic Charities Community Services, Archdiocese of New York",1011 First Ave Manhattan 10022,40.75745,-73.964011,ED2024
Catholic Charities of Brooklyn and Queens,191 Joralemon St Brooklyn 11201,40.692816,-73.991762,DD4297
"Center for Independence of the Disabled, New York",841 Broadway Manhattan 10003,40.73431,-73.99123,E2E419
Center for Popular Democracy,449 Troutman St Brooklyn 11237,40.708211,-73.921494,767FBE
"Center for the Integration and Advancement of New Americans, Inc.",31-09 Newtown Ave Queens 11102,40.767476,-73.920379,FBA919
Chhaya CDC,37-43 77th St Queens 11372,40.747968,-73.888583,41674F
