"﻿Asset Type","Name of Space","Street Address",City,State,"Zip Code","Phone Number",Email,"Hours of Operation",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Charter Schools","Achievement First Bushwick Elementary School","125 Covert St",Brooklyn,NY,11207,,,,40.688805,-73.910047,1,rooftop,125,"Covert St",,,Brooklyn,NY,"Kings County",11207,US,"City of New York"
"Charter Schools","Achievement First University Prep HS","35 Starr St. ",Brooklyn,NY,11221,,,,40.700259,-73.928096,1,rooftop,35,"Starr St",,,Brooklyn,NY,"Kings County",11221,US,"City of New York"
"K-12 (NYC Public Schools)","Arts and Literacy @ P.S. 123K","100 Irving Ave",Brooklyn,NY,11237,,,,40.703905,-73.922575,1,rooftop,100,"Irving Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
"Cultural Institution","Be Electric Studios","1298 Willoughby Ave",Brooklyn,NY,11237,,,,40.705189,-73.921724,1,rooftop,1298,"Willoughby Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
"K-12 (NYC Public Schools)","Beacon School at P.S. 291K","231 Palmetto Street",Brooklyn,NY,11237,,,,40.6955,-73.915174,0.9,rooftop,231,"Palmetto St",,,Brooklyn,NY,"Kings County",11221,US,"City of New York"
"Faith-Based Organizations","Bible Life Holiness Ministry",,,,,,,,0,0,0,,,,,,,,,,,
"Cultural Institution","Bizzarre Bar Bushwick","12 Jefferson St",Brooklyn,NY,11206,,,,40.697389,-73.934744,1,rooftop,12,"Jefferson St",,,Brooklyn,NY,"Kings County",11206,US,"City of New York"
Park/Plaza,"BK Rot","1278 Myrtle Ave",Brooklyn,NY,11221,,,,40.697868,-73.92593,1,range_interpolation,1278,"Myrtle Ave",,,Brooklyn,NY,"Kings County",11221,US,"TIGER/Line® dataset from the US Census Bureau"
"Cultural Institution","Bushwick Arts Collective","St Nicholas Ave",Brooklyn,NY,11237,,,,40.704671,-73.916696,1,street_center,,"St Nicholas Ave",,,Brooklyn,NY,"Kings County",11237,US,"TIGER/Line® dataset from the US Census Bureau"
"Charter Schools","Bushwick Ascend Middle School","2 Aberdeen St ",Brooklyn,NY,11207,,,,40.681061,-73.906711,1,rooftop,2,"Aberdeen St",,,Brooklyn,NY,"Kings County",11207,US,"City of New York"
"Charter Schools","Bushwick Campus High School","400 Irving Ave",Brooklyn,NY,11237,,,,40.69709,-73.911382,1,rooftop,400,"Irving Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
"Community Schools","Bushwick Community High School","231 Palmetto St.",Brooklyn,NY,11221,,,,40.6955,-73.915174,1,rooftop,231,"Palmetto St",,,Brooklyn,NY,"Kings County",11221,US,"City of New York"
